municipality;Cordillera Oriental;Piedemonte Amazónico - Macizo;Transición Pacífico - Caribe;Transición Orinoquía;Cordillera Central;Pacífico - Marino Costero;Caribe;Orinoquía;Corazón Amazonía
Leiva;False;False;False;False;False;False;False;False;False
Oporapa;False;True;False;False;True;False;False;False;False
Sucre;False;False;False;False;False;False;False;False;False
La Vega;False;False;False;False;True;False;False;False;False
Altamira;False;True;False;False;False;False;False;False;False
Calamar;False;False;False;True;False;False;True;False;True
San Agustín;False;True;False;False;True;False;False;False;False
Florencia;False;False;False;False;False;False;False;False;False
Balboa;False;False;False;False;False;False;False;False;False
Miranda;False;False;False;False;True;False;False;False;False
Baraya;False;False;False;True;False;False;False;False;False
Planadas;False;False;False;False;True;False;False;False;False
Puerto Tejada;False;False;False;False;True;False;False;False;False
Florida;False;False;False;False;True;False;False;False;False
Mapiripana;False;False;False;False;False;False;False;False;False
Aipe;False;False;False;False;False;False;False;False;False
Candelaria;False;False;False;False;False;False;False;False;False
Mapiripán;False;False;False;False;False;False;False;False;False
Pradera;False;False;False;False;True;False;False;False;False
San Juan De Arama;False;False;False;True;False;False;False;False;False
Alpujarra;False;False;False;False;False;False;False;False;False
Cali;False;False;False;False;False;False;False;False;False
Fuente De Oro;False;False;False;False;False;False;False;False;False
Mesetas;False;False;False;True;False;False;False;False;False
Granada;False;False;False;False;False;False;False;False;False
Ataco;False;False;False;False;True;False;False;False;False
Natagaima;False;False;False;False;False;False;False;False;False
Yumbo;False;False;False;False;False;False;False;False;False
Palmira;False;False;False;False;True;False;False;False;False
Barranco Mina;False;False;False;False;False;False;False;False;False
El Castillo;False;False;False;True;False;False;False;False;False
El Dorado;False;False;False;True;False;False;False;False;False
El Cerrito;False;False;False;False;True;False;False;False;False
Cacahual;False;False;False;False;False;False;False;True;False
Rioblanco;False;False;False;False;True;False;False;False;False
Uribe;False;False;False;True;False;False;False;False;False
San Martín;True;False;False;False;False;False;False;False;False
Prado;False;False;False;True;False;False;False;False;False
Yarumal;False;False;False;False;False;False;False;False;False
Vijes;False;False;False;False;False;False;False;False;False
Ginebra;False;False;False;False;True;False;False;False;False
Dolores;False;False;False;True;False;False;False;False;False
Guacarí;False;False;False;False;True;False;False;False;False
La Cumbre;False;False;False;False;False;False;False;False;False
Restrepo;False;False;False;True;False;False;False;False;False
Coyaima;False;False;False;False;False;False;False;False;False
Castilla La Nueva;False;False;False;False;False;False;False;False;False
San Carlos De Guaroa;False;False;False;False;False;False;False;False;False
Villarrica;False;False;False;True;False;False;False;False;False
Buga;False;False;False;False;True;False;False;False;False
Purificación;False;False;False;True;False;False;False;False;False
Cubarral;False;False;False;True;False;False;False;False;False
Cabrera;False;False;False;True;False;False;False;False;False
Chaparral;False;False;False;False;True;False;False;False;False
San Pedro;False;False;False;False;True;False;False;False;False
Yotoco;False;False;False;False;True;False;False;False;False
Calima (El Darién);False;False;False;False;False;False;False;False;False
Guamal;False;False;False;True;False;False;False;False;False
Ortega;False;False;False;False;False;False;False;False;False
San Antonio;False;False;False;False;False;False;False;False;False
Venecia;False;False;False;True;False;False;False;False;False
Machetá;False;False;False;True;False;False;False;False;False
Quebradanegra;False;False;False;False;False;False;False;False;False
Zipaquirá;False;False;False;False;False;False;False;False;False
La Capilla;False;False;False;False;False;False;False;False;False
Nemocón;False;False;False;False;False;False;False;False;False
Manizales;False;False;False;False;True;False;False;False;False
Herveo;False;False;False;False;True;False;False;False;False
Falan;False;False;False;False;False;False;False;False;False
Risaralda;False;False;False;False;True;False;False;False;False
Tauramena;False;False;False;False;False;False;False;False;False
San José Del Palmar;False;False;False;False;False;False;False;False;False
Vergara;False;False;False;False;False;False;False;False;False
Nimaima;False;False;False;False;False;False;False;False;False
Páez;False;False;False;False;False;False;False;False;False
Guasca;False;False;False;True;False;False;False;False;False
Angostura;False;False;False;False;False;False;False;False;False
Orocué;False;False;False;False;False;False;False;False;False
Suesca;False;False;False;False;False;False;False;False;False
Miraflores;False;False;False;False;False;False;False;False;True
Chocontá;False;False;False;True;False;False;False;False;False
Útica;False;False;False;False;False;False;False;False;False
Tausa;False;False;False;False;False;False;False;False;False
Belén De Umbría;False;False;False;False;False;False;False;False;False
Neira;False;False;False;False;True;False;False;False;False
Anserma;False;False;False;False;True;False;False;False;False
Istmina;False;False;False;False;False;True;False;False;False
Tuluá;False;False;False;False;True;False;False;False;False
Riofrío;False;False;False;False;True;False;False;False;False
Acacías;False;False;False;True;False;False;False;False;False
Andalucía;False;False;False;False;True;False;False;False;False
San Bernardo;False;True;False;True;False;False;False;False;False
Pandi;False;False;False;False;False;False;False;False;False
Cáqueza;False;False;False;False;False;False;False;False;False
Zarzal;False;False;False;False;False;False;False;False;False
Nariño;False;False;False;False;False;False;False;False;False
La Tebaida;False;False;False;False;False;False;False;False;False
Chipaque;False;False;False;True;False;False;False;False;False
Coello;False;False;False;False;False;False;False;False;False
Roldanillo;False;False;False;False;False;False;False;False;False
Viotá;False;False;False;False;False;False;False;False;False
Sibaté;False;False;False;True;False;False;False;False;False
San Juanito;False;False;False;True;False;False;False;False;False
Ubaque;False;False;False;False;False;False;False;False;False
La Victoria;False;False;False;False;False;False;False;False;False
El Litoral Del San Juán (Docordó);False;False;False;False;False;True;False;False;False
Montenegro;False;False;False;False;False;False;False;False;False
Cajamarca;False;False;False;False;True;False;False;False;False
Armenia;False;False;False;False;False;False;False;False;False
La Victoria (Pacoa);False;False;False;False;False;False;False;False;True
San Miguel (La Dorada);False;False;False;False;False;False;False;False;False
Guataquí;False;False;False;False;False;False;False;False;False
El Dovio;False;False;False;False;False;False;False;False;False
Tocaima;False;False;False;False;False;False;False;False;False
Puerto Lleras;False;False;False;False;False;False;False;False;False
El Colegio;False;False;False;False;False;False;False;False;False
Apulo;False;False;False;False;False;False;False;False;False
Piedras;False;False;False;False;False;False;False;False;False
Anapoima;False;False;False;False;False;False;False;False;False
Choachí;False;False;False;True;False;False;False;False;False
San Antonio De  Tequendama;False;False;False;False;False;False;False;False;False
Jerusalén;False;False;False;False;False;False;False;False;False
Obando;False;False;False;False;False;False;False;False;False
Circasia;False;False;False;False;True;False;False;False;False
La Pedrera;False;False;False;False;False;False;False;False;True
Santander (Araracuara);False;False;False;False;False;False;False;False;True
Mirití-Paraná (Campoamor);False;False;False;False;False;False;False;False;True
Palocabildo;False;False;False;False;False;False;False;False;False
Gualmatán;False;False;False;False;False;False;False;False;False
Aldana;False;False;False;False;False;False;False;False;False
Pupiales;False;False;False;False;False;False;False;False;False
Iles;False;False;False;False;False;False;False;False;False
Funes;False;True;False;False;False;False;False;False;False
Solita;False;True;False;False;False;False;False;False;False
Puerto Guzmán;False;True;False;False;False;False;False;False;True
Ospina;False;False;False;False;False;False;False;False;False
Villagarzón;False;True;False;False;False;False;False;False;False
Cumbal;False;False;False;False;False;False;False;False;False
Sapuyes;False;False;False;False;False;False;False;False;False
Imués;False;False;False;False;False;False;False;False;False
Solano;False;False;False;False;False;False;False;False;True
Yacuanquer;False;False;False;False;False;False;False;False;False
Santiago;True;True;False;False;False;False;False;False;False
Tangua;False;True;False;False;False;False;False;False;False
Guaitarilla;False;False;False;False;False;False;False;False;False
Curillo;False;True;False;False;False;False;False;False;False
Consacá;False;False;False;False;False;False;False;False;False
San Francisco;False;True;False;False;False;False;False;False;False
Túquerres;False;False;False;False;False;False;False;False;False
Colón;False;True;False;False;False;False;False;False;False
Providencia;False;False;False;False;False;False;False;False;False
Tarqui;False;True;False;False;False;False;False;False;False
Roberto Payán (San José);False;False;False;False;False;True;False;False;False
La Sierra;False;False;False;False;False;False;False;False;False
Saladoblanco;False;True;False;False;True;False;False;False;False
Isnos;False;True;False;False;True;False;False;False;False
La Argentina;False;True;False;False;True;False;False;False;False
El Paujil;False;False;False;False;False;False;False;False;False
Rosas;False;False;False;False;False;False;False;False;False
Garzón;False;False;False;False;False;False;False;False;False
El Doncello;False;False;False;False;False;False;False;False;False
Patía (El Bordo);False;False;False;False;False;False;False;False;False
Soracá;False;False;False;False;False;False;False;False;False
San Luis De Palenque;False;False;False;False;False;False;False;False;False
Sutatausa;False;False;False;False;False;False;False;False;False
Toribío;False;False;False;False;True;False;False;False;False
Lejanías;False;False;False;True;False;False;False;False;False
Colombia;False;False;False;True;False;False;False;False;False
Dagua;False;False;False;False;False;False;False;False;False
Saldaña;False;False;False;False;False;False;False;False;False
Fresno;False;False;False;False;False;False;False;False;False
Pacho;False;False;False;False;False;False;False;False;False
Cucunubá;False;False;False;False;False;False;False;False;False
Berbeo;False;False;False;False;False;False;False;False;False
Manzanares;False;False;False;False;False;False;False;False;False
Pital;False;True;False;False;False;False;False;False;False
Agrado;False;False;False;False;False;False;False;False;False
Sotará (Paispamba);False;False;False;False;True;False;False;False;False
Puracé (Coconuco);False;False;False;False;True;False;False;False;False
Inzá;False;False;False;False;True;False;False;False;False
El Retorno;False;False;False;True;False;False;False;False;True
Timbío;False;False;False;False;False;False;False;False;False
Paicol;False;False;False;False;False;False;False;False;False
La Plata;False;True;False;False;True;False;False;False;False
San Felipe;False;False;False;False;False;False;False;False;False
Argelia;False;False;False;False;False;False;False;False;False
Gigante;False;False;False;False;False;False;False;False;False
Popayán;False;False;False;False;True;False;False;False;False
Totoró;False;False;False;False;True;False;False;False;False
Puerto Rico;False;False;False;True;False;False;False;False;False
Mosquera;False;False;False;False;False;True;False;False;False
Olaya Herrera (Bocas De Satinga);False;False;False;False;False;True;False;False;False
Santa Bárbara (Iscuandé);False;False;False;False;False;True;False;False;False
Tesalia;False;False;False;False;False;False;False;False;False
La Tola;False;False;False;False;False;True;False;False;False
Área En Litigio;False;False;False;False;True;False;False;False;False
Nátaga;False;False;False;False;False;False;False;False;False
El Charco;False;False;False;False;False;True;False;False;False
Guapi;False;False;False;False;False;True;False;False;False
Cajibío;False;False;False;False;False;False;False;False;False
Yaguará;False;False;False;False;True;False;False;False;False
Campoalegre;False;False;False;True;False;False;False;False;False
Silvia;False;False;False;False;True;False;False;False;False
El Tambo;False;False;False;False;False;False;False;False;False
Piendamó;False;False;False;False;False;False;False;False;False
Rivera;False;False;False;True;False;False;False;False;False
Morichal (Morichal Nuevo);False;False;False;False;False;False;False;False;False
San José Del Guaviare;False;False;False;True;False;False;False;False;True
Timbiquí;False;False;False;False;False;True;False;False;False
San Vicente Del Caguán;False;False;False;True;False;False;False;False;True
Morales;False;False;False;False;False;False;False;False;False
Teruel;False;False;False;False;True;False;False;False;False
Puerto Concordia;False;False;False;True;False;False;False;False;False
Santa María;False;False;False;True;True;False;False;False;False
Páez (Belalcázar);False;False;False;False;True;False;False;False;False
Palermo;False;False;False;True;True;False;False;False;False
Buenos Aires;False;False;False;False;False;False;False;False;False
Santander De Quilichao;False;False;False;False;False;False;False;False;False
Tello;False;False;False;True;False;False;False;False;False
Caloto;False;False;False;False;True;False;False;False;False
Guachene;False;False;False;False;True;False;False;False;False
Vistahermosa;False;False;False;True;False;False;False;False;False
Corinto;False;False;False;False;True;False;False;False;False
Padilla;False;False;False;False;True;False;False;False;False
López;False;False;False;False;False;True;False;False;False
Villa Rica;False;False;False;False;False;False;False;False;False
Neiva;False;False;False;True;False;False;False;False;False
Sutatenza;False;False;False;False;False;False;False;False;False
Guateque;False;False;False;False;False;False;False;False;False
Villahermosa;False;False;False;False;True;False;False;False;False
Monterrey;False;False;False;False;False;False;False;False;False
Belalcazar;False;False;False;False;False;False;False;False;False
Manta;False;False;False;True;False;False;False;False;False
Villeta;False;False;False;False;False;False;False;False;False
Maní;False;False;False;False;False;False;False;False;False
Chinchiná;False;False;False;False;True;False;False;False;False
Sesquilé;False;False;False;True;False;False;False;False;False
Nocaima;False;False;False;False;False;False;False;False;False
Campohermoso;False;False;False;True;False;False;False;False;False
Supatá;False;False;False;False;False;False;False;False;False
Casabianca;False;False;False;False;True;False;False;False;False
San José;False;False;False;False;False;False;False;False;False
Medio San Juan (Andagoya);False;False;False;False;False;True;False;False;False
Viterbo;False;False;False;False;False;False;False;False;False
Santuario;False;False;False;False;False;False;False;False;False
Palestina;False;True;False;False;True;False;False;False;False
Marmato;False;False;False;False;False;False;False;False;False
Supia;False;False;False;False;False;False;False;False;False
Pensilvania;False;False;False;False;False;False;False;False;False
San Eduardo;False;False;False;False;False;False;False;False;False
Mariquita;False;False;False;False;False;False;False;False;False
Honda;False;False;False;False;False;False;False;False;False
El Peñón;False;False;False;False;False;False;False;False;False
Villagómez;False;False;False;False;False;False;False;False;False
Aranzazu;False;False;False;False;False;False;False;False;False
Marquetalia;False;False;False;False;False;False;False;False;False
Jenesano;False;False;False;False;False;False;False;False;False
Ancuya;False;False;False;False;False;False;False;False;False
Sibundoy;False;True;False;False;False;False;False;False;False
Pasto;False;True;False;False;False;False;False;False;False
Valparaíso;False;True;False;False;False;False;False;False;False
Milán;False;False;False;False;False;False;False;False;False
Albania;False;True;False;False;False;False;True;False;False
Sandoná;False;False;False;False;False;False;False;False;False
Mallama (Piedrancha);False;False;False;False;False;False;False;False;False
La Florida;False;False;False;False;False;False;False;False;False
Buesaco;False;True;False;False;False;False;False;False;False
Santa Cruz (Guachavés);False;False;False;False;False;False;False;False;False
Mocoa;False;True;False;False;False;False;False;False;False
Linares;False;False;False;False;False;False;False;False;False
Albán (San José);False;False;False;False;False;False;False;False;False
El Tablón;False;True;False;False;False;False;False;False;False
Chachaguí;False;False;False;False;False;False;False;False;False
Arboleda (Berruecos);False;False;False;False;False;False;False;False;False
Cartagena Del Chairá;False;False;False;False;False;False;False;False;True
Morelia;False;True;False;False;False;False;False;False;False
San José Del Fragua;False;True;False;False;False;False;False;False;False
Piamonte;False;True;False;False;False;False;False;False;False
San Pedro De Cartago (Cartago);False;False;False;False;False;False;False;False;False
El Peñol;False;False;False;False;False;False;False;False;False
Belén;True;False;False;False;False;False;False;False;False
La Cruz;False;True;False;False;False;False;False;False;False
La Llanada;False;False;False;False;False;False;False;False;False
San Lorenzo;False;False;False;False;False;False;False;False;False
Colón (Génova);False;False;False;False;False;False;False;False;False
Taminango;False;False;False;False;False;False;False;False;False
La Unión;False;False;False;False;False;False;False;False;False
San Pablo;False;False;False;False;False;False;False;False;False
Carurú;False;False;False;False;False;False;False;False;True
Belén De Los Andaquíes;False;True;False;False;False;False;False;False;False
Montañita;False;False;False;False;False;False;False;False;False
Guática;False;False;False;False;False;False;False;False;False
Santa Rosalía;False;False;False;False;False;False;False;False;False
Quinchía;False;False;False;False;False;False;False;False;False
Unión Panamericana ( Animas);False;False;False;False;False;False;False;False;False
Tadó;False;False;False;False;False;False;False;False;False
Oicatá;False;False;False;False;False;False;False;False;False
Bagadó;False;False;False;False;False;False;False;False;False
Rio Quito (Paimadó);False;False;False;False;False;False;False;False;False
Atrato (Yuto);False;False;False;False;False;False;False;False;False
Labranzagrande;True;False;False;False;False;False;False;False;False
Chíquiza;True;False;False;False;False;False;False;False;False
Sipí;False;False;False;False;False;False;False;False;False
Quipile;False;False;False;False;False;False;False;False;False
Funza;False;False;False;False;False;False;False;False;False
Gachalá;False;False;False;True;False;False;False;False;False
Zipacón;False;False;False;False;False;False;False;False;False
Tena;False;False;False;False;False;False;False;False;False
Ibagué;False;False;False;False;True;False;False;False;False
Alvarado;False;False;False;False;True;False;False;False;False
Versalles;False;False;False;False;False;False;False;False;False
Salento;False;False;False;False;True;False;False;False;False
Anzoátegui;False;False;False;False;True;False;False;False;False
La Mesa;False;False;False;False;False;False;False;False;False
Villanueva;False;False;False;False;False;False;True;False;False
Alcalá;False;False;False;False;False;False;False;False;False
Caparrapí;False;False;False;False;False;False;False;False;False
Samacá;False;False;False;False;False;False;False;False;False
Bajo Baudó (Pizarro);False;False;False;False;False;True;False;False;False
Riosucio;False;False;True;False;False;True;False;False;False
Cumaribo;False;False;False;False;False;False;False;True;False
Cucaita;False;False;False;False;False;False;False;False;False
Mistrató;False;False;False;False;False;False;False;False;False
Trinidad;False;False;False;False;False;False;False;False;False
Simijaca;False;False;False;False;False;False;False;False;False
Pácora;False;False;False;False;False;False;False;False;False
Tunja;False;False;False;False;False;False;False;False;False
Tota;True;False;False;False;False;False;False;False;False
San Miguel De Sema;False;False;False;False;False;False;False;False;False
Victoria;False;False;False;False;False;False;False;False;False
Caramanta;False;False;False;False;False;False;False;False;False
Pinchote;False;False;False;False;False;False;False;False;False
Landázuri;False;False;False;False;False;False;False;False;False
Chiquinquirá;False;False;False;False;False;False;False;False;False
Firavitoba;True;False;False;False;False;False;False;False;False
Nunchía;True;False;False;False;False;False;False;False;False
Aguadas;False;False;False;False;False;False;False;False;False
Tuta;True;False;False;False;False;False;False;False;False
Santa Rosa De Osos;False;False;False;False;False;False;False;False;False
Samaná;False;False;False;False;False;False;False;False;False
Norcasia;False;False;False;False;False;False;False;False;False
Monguí;True;False;False;False;False;False;False;False;False
San Pablo De Borbur;False;False;False;False;False;False;False;False;False
Inírida;False;False;False;False;False;False;False;True;False
Valle Del Guamuez (La Hormiga);False;False;False;False;False;False;False;False;False
Cuaspud (Carlosama);False;False;False;False;False;False;False;False;False
Medina;False;False;False;True;False;False;False;False;False
Fómeque;False;False;False;True;False;False;False;False;False
Barbacoas;False;False;False;False;False;False;False;False;False
Los Andes (Sotomayor);False;False;False;False;False;False;False;False;False
Santa Rosa;False;True;False;False;True;False;False;False;False
Policarpa;False;False;False;False;False;False;False;False;False
Cumbitara;False;False;False;False;False;False;False;False;False
San Sebastián;False;True;False;False;True;False;False;False;False
Pitalito;False;True;False;False;False;False;False;False;False
Almaguer;False;False;False;False;False;False;False;False;False
El Rosario;False;False;False;False;False;False;False;False;False
Suaza;False;False;False;False;False;False;False;False;False
Timaná;False;True;False;False;False;False;False;False;False
Elías;False;True;False;False;False;False;False;False;False
Marsella;False;False;False;False;True;False;False;False;False
Gachancipá;False;False;False;False;False;False;False;False;False
Villamaria;False;False;False;False;True;False;False;False;False
Nuevo Colón;False;False;False;False;False;False;False;False;False
Topaipí;False;False;False;False;False;False;False;False;False
San Cayetano;False;False;False;False;False;False;False;False;False
La Palma;False;False;False;False;False;False;False;False;False
Guaduas;False;False;False;False;False;False;False;False;False
Pueblo Rico;False;False;False;False;False;False;False;False;False
Ciénega;True;False;False;False;False;False;False;False;False
La Merced;False;False;False;False;False;False;False;False;False
Guachetá;False;False;False;False;False;False;False;False;False
Chámeza;False;False;False;False;False;False;False;False;False
Puerto Boyacá;False;False;False;False;False;False;False;False;False
Villavieja;False;False;False;False;False;False;False;False;False
Salamina;False;False;False;False;False;False;True;False;False
Carmen De Carupa;False;False;False;False;False;False;False;False;False
Ventaquemada;False;False;False;False;False;False;False;False;False
Paime;False;False;False;False;False;False;False;False;False
Boyacá;False;False;False;False;False;False;False;False;False
Fúquene;False;False;False;False;False;False;False;False;False
Pajarito;True;False;False;False;False;False;False;False;False
Cértegui;False;False;False;False;False;False;False;False;False
Susa;False;False;False;False;False;False;False;False;False
El Cantón Del San Pablo (Managrú);False;False;False;False;False;False;False;False;False
Coper;False;False;False;False;False;False;False;False;False
Pachavita;False;False;False;False;False;False;False;False;False
Villapinzón;False;False;False;False;False;False;False;False;False
Turmequé;False;False;False;False;False;False;False;False;False
Aguazul;False;False;False;False;False;False;False;False;False
Zetaquirá;False;False;False;False;False;False;False;False;False
Ubaté;False;False;False;False;False;False;False;False;False
Filadelfia;False;False;False;False;False;False;False;False;False
Marulanda;False;False;False;False;True;False;False;False;False
Lenguazaque;False;False;False;False;False;False;False;False;False
Recetor;False;False;False;False;False;False;False;False;False
Medio Baudó(Boca De Pepé);False;False;False;False;False;True;False;False;False
Paná-Paná (Campo Alegre);False;False;False;False;False;False;False;False;False
Encino;True;False;False;False;False;False;False;False;False
Heliconia;False;False;False;False;False;False;False;False;False
Susacón;True;False;False;False;False;False;False;False;False
Puerto Carreño;False;False;False;False;False;False;False;True;False
Guapotá;False;False;False;False;False;False;False;False;False
Soatá;True;False;False;False;False;False;False;False;False
Anzá;False;False;False;False;False;False;False;False;False
Copacabana;False;False;False;False;False;False;False;False;False
Concepción;True;False;False;False;False;False;False;False;False
San Mateo;True;False;False;False;False;False;False;False;False
San Jerónimo;False;False;False;False;False;False;False;False;False
Yalí;False;False;False;False;False;False;False;False;False
El Carmen;False;False;False;False;False;False;False;False;False
Frontino;False;False;False;False;False;False;False;False;False
Mongua;True;False;False;False;False;False;False;False;False
Filandia;False;False;False;False;True;False;False;False;False
Toro;False;False;False;False;False;False;False;False;False
Barranca De Upía;False;False;False;False;False;False;False;False;False
Ulloa;False;False;False;False;False;False;False;False;False
Paratebueno;False;False;False;False;False;False;False;False;False
Pulí;False;False;False;False;False;False;False;False;False
Bojacá;False;False;False;False;False;False;False;False;False
Ubalá;False;False;False;True;False;False;False;False;False
Cachipay;False;False;False;False;False;False;False;False;False
Gama;False;False;False;False;False;False;False;False;False
Palmar;False;False;False;False;False;False;False;False;False
San Joaquín;True;False;False;False;False;False;False;False;False
Don Matías;False;False;False;False;False;False;False;False;False
Covarachía;True;False;False;False;False;False;False;False;False
San Calixto;False;False;False;False;False;False;False;False;False
Francisco Pizarro (Salahonda);False;False;False;False;False;True;False;False;False
Sincé;False;False;False;False;False;False;False;False;False
San Juan De Betulia (Betulia);False;False;False;False;False;False;False;False;False
Palmito;False;False;False;False;False;False;False;False;False
Sincelejo;False;False;False;False;False;False;False;False;False
Talaigua Nuevo;False;False;False;False;False;False;False;False;False
San Antero;False;False;False;False;False;False;False;False;False
San Bernardo Del Viento;False;False;False;False;False;False;False;False;False
Morroa;False;False;False;False;False;False;False;False;False
San Zenón;False;False;False;False;False;False;False;False;False
Chimichagua;False;False;False;False;False;False;False;False;False
San Sebastián De Buenavista;False;False;False;False;False;False;False;False;False
Los Palmitos;False;False;False;False;False;False;False;False;False
Toluviejo;False;False;False;False;False;False;False;False;False
Astrea;False;False;False;False;False;False;False;False;False
Colosó;False;False;False;False;False;False;False;False;False
Chalán;False;False;False;False;False;False;False;False;False
Santa Bárbara De Pinto;False;False;False;False;False;False;False;False;False
Tolú;False;False;False;False;False;False;False;False;False
Nóvita;False;False;False;False;False;False;False;False;False
Chitaraque;False;False;False;False;False;False;False;False;False
Paz De Rio;True;False;False;False;False;False;False;False;False
Cocorná;False;False;False;False;False;False;False;False;False
Titiribí;False;False;False;False;False;False;False;False;False
Cartago;False;False;False;False;False;False;False;False;False
Santa Isabel;False;False;False;False;True;False;False;False;False
Venadillo;False;False;False;False;True;False;False;False;False
La Calera;False;False;False;True;False;False;False;False;False
Junín;False;False;False;True;False;False;False;False;False
Bogotá, D.C.;False;False;False;True;False;False;False;False;False
El Cairo;False;False;False;False;False;False;False;False;False
Beltrán;False;False;False;False;True;False;False;False;False
Cota;False;False;False;False;False;False;False;False;False
Anolaima;False;False;False;False;False;False;False;False;False
Madrid;False;False;False;False;False;False;False;False;False
Ansermanuevo;False;False;False;False;False;False;False;False;False
Dosquebradas;False;False;False;False;True;False;False;False;False
Puerto Gaitán;False;False;False;False;False;False;False;False;False
Facatativá;False;False;False;False;False;False;False;False;False
Sora;False;False;False;False;False;False;False;False;False
Cuítiva;True;False;False;False;False;False;False;False;False
Tinjacá;False;False;False;False;False;False;False;False;False
Sáchica;False;False;False;False;False;False;False;False;False
Olaya;False;False;False;False;False;False;False;False;False
Entrerrios;False;False;False;False;False;False;False;False;False
Santa Fe De Antioquia;False;False;False;False;False;False;False;False;False
San José De Miranda;True;False;False;False;False;False;False;False;False
Curití;True;False;False;False;False;False;False;False;False
Tame;True;False;False;False;False;False;False;False;False
Enciso;False;False;False;False;False;False;False;False;False
Cañasgordas;False;False;False;False;False;False;False;False;False
Vegachí;False;False;False;False;False;False;False;False;False
Uramita;False;False;False;False;False;False;False;False;False
Zapatoca;False;False;False;False;False;False;False;False;False
San Andrés;True;False;False;False;False;False;False;False;False
Murindó;False;False;False;False;False;False;False;False;False
Valparaiso;False;False;False;False;False;False;False;False;False
Sogamoso;True;False;False;False;False;False;False;False;False
Andes;False;False;False;False;False;False;False;False;False
La Dorada;False;False;False;False;False;False;False;False;False
Támesis;False;False;False;False;False;False;False;False;False
Pisva;True;False;False;False;False;False;False;False;False
San Luis De Gaceno;False;False;False;False;False;False;False;False;False
Guayatá;False;False;False;False;False;False;False;False;False
Líbano;False;False;False;False;True;False;False;False;False
Sabanalarga;False;False;False;False;False;False;False;False;False
Chaguaní;False;False;False;False;False;False;False;False;False
Almeida;False;False;False;False;False;False;False;False;False
Somondoco;False;False;False;False;False;False;False;False;False
Sasaima;False;False;False;False;False;False;False;False;False
Tocancipá;False;False;False;False;False;False;False;False;False
El Águila;False;False;False;False;False;False;False;False;False
La Celia;False;False;False;False;False;False;False;False;False
Socha;True;False;False;False;False;False;False;False;False
Támara;True;False;False;False;False;False;False;False;False
La Ceja;False;False;False;False;False;False;False;False;False
Salgar;False;False;False;False;False;False;False;False;False
Güepsa;False;False;False;False;False;False;False;False;False
Caldas;False;False;False;False;False;False;False;False;False
Quípama;False;False;False;False;False;False;False;False;False
Aquitania;True;False;False;False;False;False;False;False;False
Pesca;True;False;False;False;False;False;False;False;False
Maripí;False;False;False;False;False;False;False;False;False
Toca;True;False;False;False;False;False;False;False;False
Jardín;False;False;False;False;False;False;False;False;False
Cajicá;False;False;False;False;False;False;False;False;False
Chima;False;False;False;False;False;False;False;False;False
Tipacoque;True;False;False;False;False;False;False;False;False
Valle De San José;True;False;False;False;False;False;False;False;False
Guacamayas;True;False;False;False;False;False;False;False;False
Panqueba;True;False;False;False;False;False;False;False;False
